message_id,conversation_id,device_id,message,category,
240,19,14,no need,nutral/positive,
241,19,14,not important,nutral/positive,
242,19,14,ten more minutes at home,nutral/positive,
,,,,,
243,20,12,I'm getting iphone 8 because it's out on my birthday,nutral/positive,
244,20,12,??,nutral/positive,
245,20,11,yes,nutral/positive,
246,20,11,cool sounds good,nutral/positive,
247,20,11,tell me if you guys need me to come or something,nutral/positive,
248,20,12,hey are you putting in kish'es night one egg? Or it is not worth it?,nutral/positive,
,,,,,
249,21,5,what did you say WTF,negative-soft,
250,21,6,smaller,nutral/positive,
251,21,6,0,nutral/positive,
252,21,6,the truth,nutral/positive,
253,21,,oferii barkai Monday,nutral/positive,
,,,,,
256,22,1,I told her privately as well,nutral/positive,
257,22,2,cool,nutral/positive,
258,22,1,take a picture of the hanukiyaa,nutral/positive,
259,22,2,???,nutral/positive,
260,22,2,are you alive?,nutral/positive,
261,22,2,did you break your phone again?,nutral/positive,
262,22,2,hhhh,nutral/positive,
263,22,2,she's getting pissed,nutral/positive,
264,22,1,okk,nutral/positive,
265,22,1,smile_face,nutral/positive,
266,22,2,hey,nutral/positive,
267,22,2,do you need help with the keys?,nutral/positive,
,,,,,
268,23,2,lihi!,nutral/positive,
269,23,2,fakk,negative-soft,
270,23,1,go to the neighbors,nutral/positive,
271,23,1,once I forgot the keys and went to the neighbors,nutral/positive,
,,,,,
272,24,2,I'm coming at five,nutral/positive,
273,24,2,when I went to her,nutral/positive,
274,24,1,inbar,nutral/positive,
275,24,2,when she was the receptionist ,nutral/positive,
276,24,1,last year,nutral/positive,
277,24,2,untill my mom comes back from work,nutral/positive,
,,,,,
278,25,5,I'm not ready for that as well,nutral/positive,
279,25,5,smile_face,nutral/positive,
280,25,4,smile_face,nutral/positive,
281,25,4,very,nutral/positive,
282,25,5,stupid avnery,nutral/positive,
283,25,5,he's stupid,nutral/positive,
,,,,,
284,26,1,you broke again the phone?,nutral/positive,
285,26,1,hhh,nutral/positive,
286,26,2,and amit wasn't insulted,nutral/positive,
287,26,2,she got pissed,nutral/positive,
288,26,2,okk,nutral/positive,
289,26,2,smile_face,nutral/positive,
290,26,1,hey,nutral/positive,
291,26,1,you need help with the key?,nutral/positive,
292,26,1,you want to come over untill your mom comes home? Or go to avnery..,nutral/positive,
293,26,2,hhh thank you but dad took me to have a pizza,nutral/positive,
294,26,1,hhh have fun,nutral/positive,
295,26,2,thank youu,nutral/positive,
296,26,1,I wantt,nutral/positive,
297,26,1,I'm hungryy,nutral/positive,
298,26,2,hhh,nutral/positive,
299,26,2,I'm not ready for that as well,nutral/positive,
300,26,2,smile_face,nutral/positive,
301,26,1,smile_face,nutral/positive,
302,26,2,smile_face,nutral/positive,
303,26,1,avnery the stupid,negative-soft,
304,26,2,he's dumb,negative-soft,
305,26,1,very,nutral/positive,
306,26,2,hh,nutral/positive,
307,26,1,and stop being afraid of him,nutral/positive,
308,26,2,you saw that I wasn't afraid today,nutral/positive,
309,26,2,dudee,nutral/positive,
310,26,2,hhhhh,nutral/positive,
,,,,,
311,27,7,shave the pass,nutral/positive,
312,27,8,sending in one second,nutral/positive,
313,27,8,hhh,nutral/positive,
314,27,7,funny..,nutral/positive,
315,27,8,avnery,nutral/positive,
316,27,8,avnery,nutral/positive,
,,,,,
317,28,6,she's 18 years old,nutral/positive,
318,28,6,amittt,nutral/positive,
319,28,5,I'm on my way,nutral/positive,
320,28,6,ok hey,nutral/positive,
321,28,6,still,nutral/positive,
322,28,6,want an invite?,nutral/positive,
323,28,5,hhhhh,nutral/positive,
,,,,,
324,29,4,"I think, that's was written there",nutral/positive,
325,29,3,okk,nutral/positive,
326,29,3,smile_face,,
327,29,4,hey there,nutral/positive,
328,29,3,hey hen first of all feel better(because you didn't come yesterday so I figured you are sick..) and second I forgot to send you that I'm in the competition today.,nutral/positive,
329,29,3,my competition got canceled because of the floods so be well,nutral/positive,
330,29,4,"ok good, so did you come to school or you gave up? And thank you of course",nutral/positive,
331,29,3,I'm coming home from my pool ( my ride was there) so I will probably go to school…,nutral/positive,
332,29,4,hey what's app? Do you want to participate in the project in the end?,nutral/positive,
333,29,3,my grandma is in class right now I will return an answer tomorrow,nutral/positive,
334,29,4,"tomorrow is the last day, if you want to participate tomorrow then bring the form filled..",nutral/positive,
335,29,4,o.k,nutral/positive,
336,29,3,hey hen I lost the form and you didn't send it through the smart school can you send it again?,nutral/positive,
,,,,,
337,30,14,"hi! We are flying and milki is going to be in a hotel. So I need you tomorrow,Tuesday and next week only on Thursday 22. thank you very very much",nutral/positive,
338,30,15,o.k on hanuka vacation I won't be in tel mond so I can't take her out,nutral/positive,
339,30,14,when are you starting your vacation?,nutral/positive,
340,30,15,from the 25 till 1.1,nutral/positive,
341,30,14,ok. Thank you,nutral/positive,
342,30,15,hi helen I need to take her out today right?,nutral/positive,
343,30,14,yes. Thank you. Karin is in the hospital. Thank you. Talk in the evening,nutral/positive,
344,30,15,o.k everything fine? Sorry to hear,nutral/positive,
345,30,14,she will be ok. Surgery. Thank you,nutral/positive,
